categoria,nombre,url,precio,fecha,rating
conciertos-festivales,Candlelight Premium: lo mejor de Chopin en el Hotel Palace,https://feverup.com/m/128040,"Desde
15,00 €",30 abr,
conciertos-festivales,Tarjeta regalo Candlelight - Madrid,https://feverup.com/m/78547,"35,00 €",,
conciertos-festivales,Candlelight Comillas Premium: Lo mejor de Queen,https://feverup.com/m/128475,"Desde
25,00 €",10 jun,
conciertos-festivales,Universal Music Festival 2023,https://feverup.com/m/127244,,,
conciertos-festivales,Candlelight Jazz x Symphony Candles Jazz: Frank Sinatra en el Ateneo de Madrid,https://feverup.com/m/105192,"Desde
15,00 €",25 may,4.5
conciertos-festivales,Tarjeta Regalo Rockin'1000: Una banda de mil músicos en directo,https://feverup.com/m/126024,"Desde
49,50 €",,
conciertos-festivales,The New Raemon en concierto en Teatro Eslava,https://feverup.com/m/123298,"25,00 €",23 abr,
conciertos-festivales,Concierto de La Cruz en Bala Perdida Club,https://feverup.com/m/128109,"10,00 €",30 abr,
conciertos-festivales,Libertinas Escalera Cabaré en La Escalera de Jacob,https://feverup.com/m/122371,"10,00 €",14 - 30 abr,4.1
conciertos-festivales,Callas en concierto en holograma en Gran Teatro Caixabank Príncipe Pío,https://feverup.com/m/95230,"Desde
18,00 €",15 abr - 15 may,4.9
conciertos-festivales,Cineman Show de Daniel Diges en Príncipe Pío,https://feverup.com/m/109724,"Desde
18,00 €",23 abr - 28 may,4.8
conciertos-festivales,Whitney Houston Hologram Tour en Príncipe Pío,https://feverup.com/m/95233,"35,00 €",29 abr - 27 may,4.3
conciertos-festivales,Mocedades y Los Panchos: 50 años contigo,https://feverup.com/m/125138,"Desde
35,00 €",13 dic,
cultura-arte-moda,If You Like Cars presenta Autopía 2023,https://feverup.com/m/126148,"20,00 €",22 abr,
cultura-arte-moda,Bowie Taken by Duffy: La exposición,https://feverup.com/m/126236,"Desde
11,92 €",14 abr - 25 jun,4.3
cultura-arte-moda,The Opera Locos de Yllana en Gran Teatro CaixaBank Príncipe Pío,https://feverup.com/m/127889,"Desde
22,00 €",21 - 30 jul,
cultura-arte-moda,Fórmula 1®: La Exposición,https://feverup.com/m/122373,"Desde
13,50 €",14 abr - 04 jun,4.1
cultura-arte-moda,Señoras de la comedia: Sara & Carmen en Mad Beer Hall,https://feverup.com/m/127308,"10,00 €",22 abr,
cultura-arte-moda,Puy du Fou España: Entrada al parque + Espectáculo nocturno El Sueño de Toledo,https://feverup.com/m/111878,"Desde
52,00 €",15 abr - 11 jun,4.9
cultura-arte-moda,Experiencia interactiva en Sweet Space ¡El Mundo de los dulces!,https://feverup.com/m/92796,"Desde
6,00 €",14 abr - 30 jul,4.2
cultura-arte-moda,Entradas sin colas al Museo Reina Sofía,https://feverup.com/m/127994,"12,00 €",14 abr - 11 jun,
cultura-arte-moda,Cena buffet con barra libre de bebidas y espectáculo Drag,https://feverup.com/m/100982,"49,00 €",14 abr - 30 dic,4.8
cultura-arte-moda,La graduación en Bala Perdida Club,https://feverup.com/m/127874,"10,00 €",15 abr - 27 may,
cultura-arte-moda,Passport: lo último de Yllana aterriza en el Teatro Alfil,https://feverup.com/m/115368,"15,00 €",01 jun - 27 jul,4.5
cultura-arte-moda,"Magia a saco, De Marco El Alusionista, magia familiar en Off Latina Teatro",https://feverup.com/m/119989,"8,50 €",15 - 30 abr,4.8
cultura-arte-moda,Luis Álvarez: Descubre la magia que hay en ti en Teatro CaixaBank,https://feverup.com/m/123616,"8,80 €",23 may,
cultura-arte-moda,Sex o no sex en La Escalera de Jacob,https://feverup.com/m/119346,"Desde
11,00 €",15 - 30 abr,4.8
cultura-arte-moda,¿Quién será mi Roomie? en La Escalera de Jacob,https://feverup.com/m/127869,"10,00 €",21 - 28 abr,
cultura-arte-moda,La soledad no elegida en Off Latina Teatro,https://feverup.com/m/127873,"8,50 €",16 - 30 abr,
cultura-arte-moda,Pagagnini de Yllana en Gran Teatro CaixaBank Príncipe Pío,https://feverup.com/m/127885,"Desde
22,00 €",04 - 13 ago,
cultura-arte-moda,"Era casi una vez, teatro infantil en Off Latina Teatro",https://feverup.com/m/123561,"12,50 €",15 - 29 abr,
cultura-arte-moda,Amor a medias: Una comedia llena de historias en Black & White,https://feverup.com/m/128429,"10,00 €",22 abr - 27 may,
cultura-arte-moda,Maestrissimo de Yllana en Gran Teatro CaixaBank Príncipe Pío,https://feverup.com/m/128434,"Desde
22,00 €",18 - 27 ago,
cultura-arte-moda,Les Luthiers: Más tropiezos de Mastropiero en Príncipe Pío,https://feverup.com/m/119120,"Desde
40,00 €",31 may - 25 jun,
cultura-arte-moda,"I want your drag, el concurso drag de Madrid",https://feverup.com/m/124754,"10,00 €",19 abr - 31 may,4.6
cultura-arte-moda,Ikono Madrid: una experiencia sensorial y fotográfica única,https://feverup.com/m/104256,"15,00 €",14 abr - 31 dic,4.5
cultura-arte-moda,Sainetes andaluces en Teatro Victoria,https://feverup.com/m/127426,"12,00 €",14 - 28 abr,
cultura-arte-moda,Museum of Illusions Madrid: una divertida experiencia inmersiva,https://feverup.com/m/107016,"Desde
14,00 €",14 abr - 11 jun,4.3
cultura-arte-moda,The Rock Cats: cena + espectáculo en Bule Bule,https://feverup.com/m/123651,"36,00 €",16 abr - 12 jul,4.5
cultura-arte-moda,COMETA SOY YO: El espectáculo navideño - Lista de espera,https://feverup.com/m/124481,,,
cultura-arte-moda,"El Pirata Abracadabra, chas chas en Teatro Victoria",https://feverup.com/m/126438,"11,00 €",16 - 30 abr,
cultura-arte-moda,Vive Broadway en Madrid en Bala Perdida Club,https://feverup.com/m/126172,"10,00 €",20 abr - 25 may,4.8
cultura-arte-moda,El sentido del humor en el Gran Teatro Caixabank Príncipe Pío,https://feverup.com/m/95236,"Desde
26,00 €",14 may - 11 jun,4.3
cultura-arte-moda,"Amor, sexo y lo que surja en Off Latina",https://feverup.com/m/103774,"10,50 €",15 abr - 20 may,4.6
cultura-arte-moda,We Will Rock You en Gran Teatro Caixabank Príncipe Pío,https://feverup.com/m/95238,"Desde
18,75 €",14 abr - 29 oct,4.6
cultura-arte-moda,Brunch and Art en el Museo Thyssen: menú brunch y acceso al museo,https://feverup.com/m/118420,"41,50 €",15 - 23 abr,4.2
cultura-arte-moda,Hamlet en Teatro Victoria,https://feverup.com/m/121059,"Desde
14,00 €",16 abr,4.8
cultura-arte-moda,Territorio Atleti: museo + tour por el Cívitas Metropolitano,https://feverup.com/m/116692,"24,00 €",14 abr - 27 ago,4.8
cultura-arte-moda,Palacio Real de Madrid: acceso rápido con audioguía opcional,https://feverup.com/m/111707,"15,00 €",16 abr - 12 jun,4.4
cultura-arte-moda,"Rayando la felicidad, una comedia en Off Latina Teatro",https://feverup.com/m/122593,"12,50 €",14 abr - 26 may,4.8
cultura-arte-moda,Visita la Sala Recoletos de la Fundación Mapfre Madrid,https://feverup.com/m/115356,"5,00 €",14 abr - 07 may,5.0
cultura-arte-moda,"Diversidrag, el dragshow mas inclusivo en Bala Perdida Club",https://feverup.com/m/126492,"10,00 €",18 - 25 abr,
cultura-arte-moda,Fugaz por Javier Luxor en Off Latina Teatro,https://feverup.com/m/107331,"Desde
12,50 €",14 abr - 27 may,4.8
cultura-arte-moda,Mental Hacker en La Escalera de Jacob,https://feverup.com/m/122537,"Desde
10,00 €",15 - 30 abr,4.7
cultura-arte-moda,"Tick, Tick... Boom! en el Gran Teatro CaixaBank Príncipe Pío",https://feverup.com/m/118929,"Desde
18,00 €",14 abr - 26 may,4.9
cultura-arte-moda,¡Entradas para el Museo de Cera de Madrid!,https://feverup.com/m/112150,"18,00 €",14 abr - 15 oct,4.3
cultura-arte-moda,"Amor, guerra y mosquitos en La Escalera de Jacob",https://feverup.com/m/127882,"10,00 €",16 - 30 abr,
cultura-arte-moda,Empezar a los 30 en Off Latina Teatro,https://feverup.com/m/126097,"12,50 €",20 - 27 abr,
cultura-arte-moda,Entradas para el Museo del Prado,https://feverup.com/m/111749,"18,00 €",14 abr - 12 jun,4.8
cultura-arte-moda,Anormal en La Escalera de Jacob,https://feverup.com/m/100119,"10,00 €",14 - 30 abr,4.9
cultura-arte-moda,Magia vs Ciencia en Off Latina Teatro,https://feverup.com/m/116796,"8,50 €",15 - 30 abr,3.7
cultura-arte-moda,"Otro sueño de una noche de verano, en el Teatro Alfil",https://feverup.com/m/106622,"15,00 €",22 abr - 01 may,4.6
cultura-arte-moda,Soy una persona horrible en La Escalera de Jacob,https://feverup.com/m/112538,"10,00 €",14 - 28 abr,4.7
cultura-arte-moda,El bucle en Off Latina Teatro,https://feverup.com/m/119871,"15,50 €",16 - 23 abr,5.0
cultura-arte-moda,Deshora en Off Latina Teatro,https://feverup.com/m/127082,"12,50 €",14 - 28 abr,
cultura-arte-moda,Nuestras últimas miradas en Off Latina Teatro,https://feverup.com/m/127083,"12,50 €",16 - 30 abr,
cultura-arte-moda,Mitos Nórdicos en Off Latina Teatro,https://feverup.com/m/117175,"10,50 €",15 abr - 13 may,5.0
cultura-arte-moda,Puy du Fou España: Entrada al parque,https://feverup.com/m/113216,"Desde
29,00 €",15 abr - 11 jun,4.8
cultura-arte-moda,El árbol de los valores en Off Latina Teatro,https://feverup.com/m/127685,"10,50 €",22 - 29 abr,
cultura-arte-moda,Luces de Bohemia en Off Latina Teatro,https://feverup.com/m/116232,"10,50 €",15 abr - 20 may,4.9
cultura-arte-moda,Match Love en Off Latina Teatro,https://feverup.com/m/116192,"12,50 €",14 abr - 19 may,4.7
cultura-arte-moda,Toma tu puta caña en La Escalera de Jacob,https://feverup.com/m/127883,"10,00 €",20 - 27 abr,
cultura-arte-moda,Amor a medias en Off Latina Teatro,https://feverup.com/m/109521,"12,50 €",16 - 30 abr,
cultura-arte-moda,Problemas de conexión en La Escalera de Jacob,https://feverup.com/m/119339,"10,00 €",16 - 30 abr,4.2
cultura-arte-moda,CantaJuego: ¡Viva mi planeta! Me lo contó un pajarito,https://feverup.com/m/125830,"Desde
12,00 €",20 - 21 may,
cultura-arte-moda,Jorge Bedoya: Las manos en Gran Teatro CaixaBank Príncipe Pío,https://feverup.com/m/124464,"15,00 €",27 abr,
cultura-arte-moda,"Prado, Reina Sofía y Thyssen: Abono Paseo del Arte",https://feverup.com/m/111745,"35,00 €",14 abr - 11 jun,4.7
cultura-arte-moda,Entradas para el Museo Lázaro Galdiano,https://feverup.com/m/94382,"8,00 €",15 - 23 abr,4.5
cultura-arte-moda,Golondrina en La Escalera de Jacob,https://feverup.com/m/127880,"8,00 €",20 - 27 abr,
cultura-arte-moda,"Qué difícil es, una comedia incómoda en el Teatro Alfil",https://feverup.com/m/112131,"12,00 €",18 abr - 24 may,4.7
cultura-arte-moda,Cyrano de Bergerac en el Teatro Victoria,https://feverup.com/m/95874,"Desde
15,00 €",16 - 30 abr,4.8
cultura-arte-moda,Alcohol o coaching en La Escalera de Jacob,https://feverup.com/m/122372,"10,00 €",14 - 28 abr,4.6
cultura-arte-moda,El triunfo de la bondad en Off Latina Teatro,https://feverup.com/m/125563,"14,00 €",20 abr,
cultura-arte-moda,Suicidas en La Escalera de Jacob,https://feverup.com/m/124506,"12,00 €",19 - 26 abr,
cultura-arte-moda,Fucking Mickey Mouse en La Escalera de Jacob,https://feverup.com/m/126486,"10,00 €",22 - 29 abr,
cultura-arte-moda,Una película de mierda en Off Latina Teatro,https://feverup.com/m/121089,"12,50 €",16 - 30 abr,5.0
cultura-arte-moda,"Metus, la cara más desconocida del miedo",https://feverup.com/m/109084,"12,00 €",14 - 21 abr,4.3
cultura-arte-moda,La Escalera de Jacob: Las guerras del reino de Calamburia,https://feverup.com/m/28571,"9,00 €",14 - 28 abr,4.7
cultura-arte-moda,"Sofía, la sembradora de luz en Off Latina Teatro",https://feverup.com/m/125562,"12,50 €",16 - 30 abr,
cultura-arte-moda,"El casting, la comedia inmersiva en Bala Perdida Club",https://feverup.com/m/127683,"10,00 €",16 abr - 28 may,
cultura-arte-moda,Excursión guiada por Alcalá y la vida de Cervantes,https://feverup.com/m/92137,"48,00 €",15 - 25 abr,
terrazas-y-rooftops,Rita's Brunch by Martini: terraceo en Autocine Madrid,https://feverup.com/m/84063,"Desde
5,00 €",15 abr - 28 may,4.2
terrazas-y-rooftops,BBQ Brunch en el Rooftop de Casa Suecia,https://feverup.com/m/109634,"Desde
34,00 €",16 abr - 31 dic,4.6
terrazas-y-rooftops,Brunch en terraza con vistas al Palacio Real,https://feverup.com/m/93601,"24,00 €",15 abr - 28 may,4.5
terrazas-y-rooftops,Menú Havanna para 2 en el Restaurante El Olvido,https://feverup.com/m/111145,"86,99 €",14 abr - 30 jun,
terrazas-y-rooftops,"Botania, Grupo Larrumba: menú en Plaza de España",https://feverup.com/m/69706,"Desde
24,90 €",14 - 30 abr,4.7
terrazas-y-rooftops,La Terraza de Colón: el nuevo brunch saludable de moda,https://feverup.com/m/103169,"Desde
29,95 €",15 abr - 30 jul,3.6
terrazas-y-rooftops,"Pipa&Co Salamanca, Grupo Larrumba: menú fusión en el centro de Madrid",https://feverup.com/m/90162,"Desde
24,90 €",14 - 30 abr,4.7
terrazas-y-rooftops,Brunch en El Escondite de Villanueva,https://feverup.com/m/65308,"Desde
22,00 €",15 abr - 09 jul,4.6
terrazas-y-rooftops,Restaurante el Olvido: menú para los amantes de la tierra y el mar,https://feverup.com/m/111143,"32,90 €",14 abr - 30 jun,4.8
terrazas-y-rooftops,Home Burger Bar: menú exclusivo de hamburguesa o sándwich,https://feverup.com/m/84399,"13,50 €",17 abr - 28 dic,4.6
terrazas-y-rooftops,Restaurante La Misión: menú de vanguardia,https://feverup.com/m/111120,"32,90 €",14 abr - 30 jun,4.5
terrazas-y-rooftops,Menú del día en la terraza de La Espumosa en Chamberí,https://feverup.com/m/112499,"14,90 €",17 abr - 29 dic,
terrazas-y-rooftops,Restaurante La Misión: Menú Salvatierra para 2,https://feverup.com/m/111122,"75,00 €",14 abr - 30 jun,
terrazas-y-rooftops,Experiencia premium en el Restaurante La Misión,https://feverup.com/m/111142,"99,99 €",14 abr - 30 jun,4.3
terrazas-y-rooftops,Home Burger Bar Premium: Gin & Burger,https://feverup.com/m/84401,"Desde
18,50 €",17 abr - 28 dic,4.4
vida-nocturna-clubs,Medias Puri: El club clandestino más mítico de Madrid,https://feverup.com/m/101082,"Desde
18,00 €",14 - 29 abr,4.3
vida-nocturna-clubs,A Summer Story 2023,https://feverup.com/m/119824,"Desde
40,00 €",23 - 24 jun,
vida-nocturna-clubs,"Drag Saturdays en Lola 09: brunch, bingo y drag queens",https://feverup.com/m/91959,"28,00 €",29 abr - 24 jun,4.4
vida-nocturna-clubs,Code 153 en Fabrik,https://feverup.com/m/127399,"Desde
20,00 €",22 abr,
vida-nocturna-clubs,Fideles en BeRenatta ¡con copa!,https://feverup.com/m/128426,"20,00 €",05 may,
vida-nocturna-clubs,Rita's Fest Feria de Abril en Autocine Madrid Fever - 22 de abril,https://feverup.com/m/127057,"Desde
15,00 €",22 abr,
vida-nocturna-clubs,BomBom Urban Club en Teatro Eslava,https://feverup.com/m/121794,"Desde
15,00 €",14 abr - 26 may,4.4
vida-nocturna-clubs,Nexus Festival 2023 en Fabrik,https://feverup.com/m/127310,"Desde
30,00 €",10 jun,
vida-nocturna-clubs,Reggaeton Clásico: el remember del género en Fabrik,https://feverup.com/m/127309,"20,00 €",15 abr,
vida-nocturna-clubs,Zebra Club en Teatro Eslava,https://feverup.com/m/121709,"Desde
15,00 €",15 abr,4.3
vida-nocturna-clubs,Rita's Fest Feria de Abril con Andy y Lucas - 23 abril - Autocine,https://feverup.com/m/127907,"Desde
15,00 €",23 abr,
vida-nocturna-clubs,HOT 8º Aniversario con Cano en Music Park,https://feverup.com/m/127146,"20,00 €",22 abr,
vida-nocturna-clubs,Uñas Chung Lee: fiesta en el lejano oriente con copa o botella,https://feverup.com/m/100901,"Desde
16,00 €",14 - 29 abr,4.3
vida-nocturna-clubs,Teatro Kapital: ¡las fiestas más top de Madrid!,https://feverup.com/m/121772,"Desde
20,00 €",14 - 30 abr,3.7
vida-nocturna-clubs,Makineros XXL 2023 en Fabrik,https://feverup.com/m/125583,"25,00 €",13 may,
vida-nocturna-clubs,Bailaloloco Disco Tour Silencioso,https://feverup.com/m/85173,"Desde
18,00 €",22 abr - 24 jun,5.0
vida-nocturna-clubs,WAH Madrid: el show más espectacular del mundo,https://feverup.com/m/102589,"Desde
35,00 €",14 abr - 18 jun,4.6
vida-nocturna-clubs,Robot Rock Alive: show tributo a Daft Punk en la Sala Riviera,https://feverup.com/m/123942,"27,50 €",05 may,
vida-nocturna-clubs,"Replay 11 aniversario en La Terraza de Fabrik, Madrid",https://feverup.com/m/127145,"25,00 €",14 may,
vida-nocturna-clubs,Cheek to Cheek: noches clandestinas de burlesque,https://feverup.com/m/127176,"78,00 €",14 abr - 29 jul,
vida-nocturna-clubs,La Fiesta Naranja 2023: entradas para el XXI Aniversario,https://feverup.com/m/82758,"Desde
16,00 €",10 jun,
vida-nocturna-clubs,Urbana en VG Fuenlabrada,https://feverup.com/m/127619,"20,00 €",22 abr,
vida-nocturna-clubs,"Marabú: DJs, copas y el mejor ambiente de Madrid",https://feverup.com/m/122564,"15,00 €",15 abr - 27 may,3.8
vida-nocturna-clubs,Euroshow: El show más eurovisivo en Black & White,https://feverup.com/m/128427,"10,00 €",22 abr - 27 may,
vida-nocturna-clubs,"I want your drag, el concurso drag de Madrid",https://feverup.com/m/124754,"10,00 €",19 abr - 31 may,4.6
vida-nocturna-clubs,Bingo Drag: el bingo con show drag más divertido,https://feverup.com/m/122146,"10,00 €",15 abr - 27 may,4.7
vida-nocturna-clubs,La Buena Época en Kumarah Club,https://feverup.com/m/128178,"Desde
15,00 €",15 abr,
vida-nocturna-clubs,Abonos Medusa Festival 2023: Age of Times,https://feverup.com/m/126498,"86,95 €",11 ago,
vida-nocturna-clubs,Tarjeta Regalo WAH Madrid: el show más espectacular del mundo,https://feverup.com/m/105887,"Desde
54,00 €",,
vida-nocturna-clubs,"Vogue Live, la escena ballroom de Madrid",https://feverup.com/m/122255,"10,00 €",16 abr - 16 jul,4.3
vida-nocturna-clubs,Space of Sound 30 Aniversario en LAB theCLUB,https://feverup.com/m/127887,"22,00 €",14 may,
vida-nocturna-clubs,X Aniversario Retrospective en Hangar Fabrik,https://feverup.com/m/127195,"20,00 €",27 may,
vida-nocturna-clubs,"Canteo: karaoke, tapa y bebida en PlayBack Madrid",https://feverup.com/m/126170,"14,00 €",19 abr - 27 jul,
vida-nocturna-clubs,Ruta de Bares + entrada a discoteca en el centro de Madrid,https://feverup.com/m/124925,"12,00 €",14 abr - 01 jul,
vida-nocturna-clubs,Puro Vinilo en Space of Sound ¡con copa!,https://feverup.com/m/127884,"18,00 €",30 abr,
vida-nocturna-clubs,Rhythm of the night by DJ Nano,https://feverup.com/m/101656,"Desde
18,00 €",15 abr - 27 may,4.5
vida-nocturna-clubs,Len Faki en BeRenatta ¡con copa!,https://feverup.com/m/127120,"Desde
18,00 €",28 abr,
vida-nocturna-clubs,Hozho en BeRenatta ¡con copa!,https://feverup.com/m/127406,"22,00 €",14 abr,
vida-nocturna-clubs,"Tardeos en La Parrilla de La Máquina: DJs, copas ¡y más!",https://feverup.com/m/123222,"15,00 €",20 abr - 21 dic,3.9
vida-nocturna-clubs,Dando la nota: show de karaoke,https://feverup.com/m/123820,"10,00 €",14 abr - 28 may,4.4
vida-nocturna-clubs,Con D de Drag: Show de Impro Drag en vivo,https://feverup.com/m/122404,"10,00 €",20 abr - 25 may,4.5
vida-nocturna-clubs,Matroda en BeRenatta ¡con copa!,https://feverup.com/m/126861,"Desde
18,00 €",21 abr,
vida-nocturna-clubs,Alienta B2B Bloody Mary + Not a Headliner en CROW Techno Club,https://feverup.com/m/128589,"20,00 €",29 abr,
vida-nocturna-clubs,DJ Boring en BeRenatta ¡con copa!,https://feverup.com/m/128592,"Desde
18,00 €",26 may,
fabrik,Code 153 en Fabrik,https://feverup.com/m/127399,"Desde
20,00 €",22 abr,
fabrik,Nexus Festival 2023 en Fabrik,https://feverup.com/m/127310,"Desde
30,00 €",10 jun,
fabrik,Reggaeton Clásico: el remember del género en Fabrik,https://feverup.com/m/127309,"20,00 €",15 abr,
fabrik,Makineros XXL 2023 en Fabrik,https://feverup.com/m/125583,"25,00 €",13 may,
fabrik,"Replay 11 aniversario en La Terraza de Fabrik, Madrid",https://feverup.com/m/127145,"25,00 €",14 may,
fabrik,Urbana en VG Fuenlabrada,https://feverup.com/m/127619,"20,00 €",22 abr,
fabrik,X Aniversario Retrospective en Hangar Fabrik,https://feverup.com/m/127195,"20,00 €",27 may,
monologos,Monólogos en La Chocita del Loro Gran Vía,https://feverup.com/m/70951,"Desde
10,00 €",14 - 30 abr,4.7
monologos,Monólogos en La Chocita del Loro Avenida de Brasil,https://feverup.com/m/70445,"Desde
11,00 €",14 - 30 abr,4.6
monologos,"No me puedo quejar, un monólogo donde quejarte en Black & White",https://feverup.com/m/128430,"10,00 €",19 abr - 31 may,
monologos,"Yo perreo sola, con Noa Sánchez, en Black & White",https://feverup.com/m/126484,"10,00 €",21 abr - 26 may,
monologos,3 Monólogos + Jam Música en directo: Coolturetas Comedy,https://feverup.com/m/128433,"6,00 €",27 abr,
monologos,"Hot show, un monólogo muy cachondo en Black & White",https://feverup.com/m/128435,"10,00 €",22 abr - 27 may,
monologos,Soy tóxica: Un espectáculo de monólogos con 3 monologuistas,https://feverup.com/m/124755,"10,00 €",14 abr - 26 may,4.9
monologos,Monólogo de David Guapo en el Gran Teatro Caixabank Príncipe Pío,https://feverup.com/m/95237,"22,00 €",22 abr - 16 dic,4.6
monologos,Monólogos en La Chocita del Loro Carabanchel,https://feverup.com/m/70442,"Desde
10,00 €",14 - 30 abr,4.7
monologos,Cata de cervezas + monólogo en Mad Beer Hall,https://feverup.com/m/113454,"15,00 €",21 abr - 28 jul,4.4
monologos,Señoras de la comedia: Sara & Carmen en Mad Beer Hall,https://feverup.com/m/127308,"10,00 €",22 abr,
monologos,Bocata y monólogo en Tapaloguistas,https://feverup.com/m/127875,"15,00 €",15 - 29 abr,
monologos,Vidalenta Comedy: el open mic de comedia más tropical,https://feverup.com/m/126858,"5,00 €",18 abr - 27 jun,
monologos,Hablar entre dientes en La Escalera de Jacob,https://feverup.com/m/122336,"10,00 €",21 - 30 abr,5.0
monologos,"Vagos y maleantes, el show más divertido",https://feverup.com/m/124957,"10,00 €",15 abr - 27 may,4.2
monologos,Tilda y Afloja: la comedy night más castiza en Tilda Neotaberna Castiza,https://feverup.com/m/124427,"Desde
6,00 €",27 abr - 27 jul,4.6
monologos,Alex O’Dogherty & La Bizarrería en Gran Teatro CaixaBank Príncipe Pío,https://feverup.com/m/114781,"15,00 €",30 abr,4.2
monologos,"No eres gorda, eres ancha de caderas en La Escalera de Jacob",https://feverup.com/m/36078,"10,00 €",30 abr,4.5
monologos,"Que la vida merezca la risa, con Ángel Rielo en el Teatro Alfil",https://feverup.com/m/116632,"18,00 €",20 abr - 18 may,4.8
parque-atracciones,Zoo Aquarium de Madrid,https://feverup.com/m/110857,"Desde
23,00 €",14 abr - 12 jun,4.7
parque-atracciones,Parque de Atracciones de Madrid,https://feverup.com/m/109371,"Desde
23,00 €",15 abr - 11 jun,4.6
parque-atracciones,¡Entradas para Faunia!,https://feverup.com/m/110849,"Desde
20,00 €",14 abr - 12 jun,4.4
parque-atracciones,Parque Warner Madrid: ¡pura adrenalina!,https://feverup.com/m/109281,"Desde
30,00 €",14 abr - 12 jun,4.7
