descripcion,sku,imagen,latitud,longitud,lugar
"elight  son los conciertos a la luz de las velas que traen la magia de una experiencia musical a lugares increíbles en Madrid. ¡Consigue tus entradas para Candlelight: Tributo a Joan Manuel Serrat en el Hotel Wellington!  _x000D_
 👉 Experiencia apta para su compra con el   Bono Cultural Joven   del Ministerio de Cultura y Deportes. Puedes consultar las preguntas frecuentes al respecto y sus respuestas  aquí  _x000D_
 🕯️ ¡Disfruta de una noche mágica junto a  Candlelight y las velas Symphony Candles ! Inspirado en la música, Symphony se origina a partir de la idea de la orquesta, donde los instrumentos de todo tipo hacen eco entre sí para crear música armónica. Las velas parpadean al ritmo de la música, nacen con el modo de detección de ritmo patentado y emiten señales a medida que avanza el ritmo 🕯️ _x000D_
  Información   📍 Lugar: Hotel Wellington, Madrid 📅 Fecha y hora: 23 de abril y 7 de mayo a las 17:00, las 19:00 y las 21:00 ⏳ Duración del concierto: 60 minutos aprox. (apertura de puertas 45 minutos antes, no se podrá acceder tras el inicio) 👤 Edad: a partir de 8 años. Los menores de 16 años deberán acudir acompañados por un adulto ❓ Puedes consultar las preguntas frecuentes y sus respuestas  aquí  🪑 Los asientos se asignan a la llegada según el tipo de ticket que hayas comprado 🎻 Consulta todos los  conciertos Candlelight  en Madrid 🕯️ Si deseas reservar un concierto privado, haz clic  aquí  ⚡️ Desplázate en taxi hasta esta experiencia con FREENOW y  un descuento exclusivo del 20%  que podrás disfrutar tanto a la ida como a la vuelta, una vez introduzcas tu destino en la app. Y si eres nuevo usuario, disfruta de un 50% de descuento utilizando el código CANDLE en tu primer viaje en taxi, coche compartido, bici, moto o patinete.*  * Promociones no acumulables.  _x000D_
  Programa Candlelight: Tributo a Joan Manuel Serrat en el Hotel Wellington  _x000D_
 _x000D_
 Barquito de papel _x000D_
 Qué va a ser de ti _x000D_
 Aquellas pequeñas cosas _x000D_
 Cantares _x000D_
 Penélope _x000D_
 La mujer que yo quiero _x000D_
 Lucía _x000D_
 Mediterráneo _x000D_
 Tu nombre me sabe a yerba _x000D_
 ¡Y más! _x000D_
 _x000D_
  Intérprete  _x000D_
 _x000D_
 Cuarteto de cuerda - Caramuel _x000D_
 _x000D_
   Opiniones de los conciertos Candlelight  💬 David A. ⭐⭐⭐⭐⭐: ""Cuatro paredes, cuatro columnas y en medio un piano a manos de una dama. El resto son imagenes y sueños"". 💬 Patricia C. ⭐⭐⭐⭐⭐: ""Un espectáculo precioso, vibrante, divertido y revitalizante. Se me ponían los pelos de punta. Lo estoy recomendando a todos los amigos que puedo porque es para verlo"". 💬 Joaquín G. ⭐⭐⭐⭐⭐: ""Precioso espectáculo, increíble en todos los aspectos"".     _x000D_
  ",126730,"https://applications-media.feverup.com/image/upload/f_auto,w_720,h_720/fever2/plan/photo/b681b228-b9b7-11ed-b1fe-7276d616bf32.jpg",40.422407,-3.683763,Hotel Wellington
"  En un mundo distópico donde la música está prohibida surge WAH Madrid, el último reducto donde poder volver a vivirla... ¡Adéntrate en un espectáculo inédito en Europa! WAH combina lo mejor de los musicales, una gran historia y una espectacular puesta en escena y vestuario, con una gran experiencia musical inmersiva a través de los mayores éxitos de la historia de la música. Desde Beethoven hasta Michael Jackson, unidos por un mismo hilo conductor y a cargo de grandes voces y artistas. Todo ello aderezado con una gran experiencia gastronómica en la que degustarás, si quieres, cocina gourmet de todo el mundo a través de 12 estaciones. Forma parte del espectáculo… ¡Consigue tus entradas para WAH, el show musical y gastronómico en IFEMA Madrid! Solicita tu Uber y llega de la forma más sencilla al mayor show gastronómico y musical en IFEMA.",102589,"https://applications-media.feverup.com/image/upload/f_auto,w_550,h_550/fever2/plan/photo/5e27fa62-38dc-11ed-ab23-febcf3cfb5dc.jpg",40.464292,-3.616393,IFEMA
"  It's fun to stay at the Y.M.C.A! Si has leído esta frase cantando, ¡este plan es para ti! ¡Village People llega a Madrid por primera vez para ofrecerte un concierto que no olvidarás! Responsables de éxitos como In the Navy o Macho Men, iconos de la comunidad LGTBIQ+ en los 70, la mítica banda neoyorkina tomará el escenario de la Sala La Riviera para llenar de ritmo, color y música tu noche del 1 de junio. Estarán acompañados por unos teloneros inmejorables: el ecléctico grupo de electrónica glam HUMO&amp;OXIDO, que activarán la sala con sus intensos beats desde el principio. No te pierdas este viaje a los éxitos del grupo y disfrútalos de manera inédita en Madrid. ¡Consigue tus entradas para Village People en concierto en Sala La Riviera, Madrid!",128201,"https://applications-media.feverup.com/image/upload/f_auto,w_720,h_720/fever2/plan/photo/b8fceec4-d3a6-11ed-a30b-4a439bdfc75d.jpg",40.413139,-3.722162,Sala Riviera
"  Prepara tus pulmones porque este sábado 22 de abril ¡no vas a parar de cantar! Déjate llevar por el concierto del artista Cris Mj con canciones como ""Marisola"" y ""Una noche en Medellín"". También podrás disfrutar del set de los DJs Sergio Gonzalez y Manu Bayona, que te harán vibrar y disfrutar de la mejor música. ¿Te vienes? ¡Consigue tus entradas para el concierto de Cris Mj en Kumarah Club, Madrid!",127879,"https://applications-media.feverup.com/image/upload/f_auto,w_720,h_720/fever2/plan/photo/da4d1664-ce0e-11ed-8dbe-2aac97eab81b.jpg",40.49977,-3.893244,Kumarah Discoteca
"  Versión restaurada y remasterizada del clásico de Buster Keaton con la interpretación en directo de la banda sonora compuesta por Caspervek Ensemble. El mejor cine mudo a ritmo de jazz clásico, swing y el minimalismo característico del conjunto, para disfrutar junto a toda la familia. Jimmy Shannon (Buster Keaton) recibe una visita inesperada de un abogado. Su abuelo, le convierte en heredero de 7 millones de dólares con una condición: que haya contraído matrimonio antes de las 7 de la tarde en el día que cumple 27 años, pero ese día es hoy. ¡Consigue tus entradas para cine mudo con música en directo: Siete Ocasiones en Teatro Pavón, Madrid!",128032,"https://applications-media.feverup.com/image/upload/f_auto,w_720,h_720/fever2/plan/photo/ac8dfcfe-cfb0-11ed-b34a-02cc9dbaeee0.jpg",40.410071,-3.70605,Teatro Pavón
"  ¡Vente a la mayor verbena musical del centro de Madrid!. Bala Perdida Club te trae Radio Fórmula en concierto. Una impresionante actuación en directo con todos esos éxitos que cantamos a pleno pulmón, los temazos de ayer y hoy, tus artistas favoritos... Cada día podrás disfrutar de temas diferentes y sorpresas nuevas. Si te gusta la música buena de verdad... ¡No puedes faltar! ¡Consigue tus entradas para Radio Fórmula: los éxitos de ayer y de hoy en concierto en Bala Perdida Club, Madrid!",128338,"https://applications-media.feverup.com/image/upload/f_auto,w_720,h_720/fever2/plan/photo/a281f804-d795-11ed-b0c3-865b9bcbdf91.jpg",40.413367,-3.700664,Bala Perdida Club (Hotel Axel Madrid)
"  Si eres de los que espera Eurovisión como agua de mayo, ¡sigue leyendo! El show que estabas buscando llega a Black &amp; White. Cada noche será una celebración única del famoso certamen que a todos nos encanta. Un show exclusivo dedicado a la historia de Eurovisión, en el que disfrutarás de concursos, temas cantados en directo, ¡y mucha diversión! ¡Consigue tus entradas para Euroshow: El show más eurovisivo en Black &amp; White, Madrid!",128427,"https://applications-media.feverup.com/image/upload/f_auto,w_720,h_720/fever2/plan/photo/0e9af974-d880-11ed-9789-923ebbf50980.jpg",40.4226249,-3.6967549,Black & White - Madrid
"  Coolturetas Comedy es un referente de los clubs de Comedia en España y, con sus 10 años de vida, uno de los más antiguos. En cada edición reciben la visita de varios cómicos seleccionados entre lo mejor del panorama nacional e internacional. Se trata de un espectáculo Open mic, donde, tras los cómicos viene la Jam de música en directo más divertida que hayas visto. Músicos profesionales y amateur al son de temazos de ayer o música improvisada al momento, lo que fluya. ¡Consigue tus entradas para 3 Monólogos + Jam Música en directo: Coolturetas Comedy!",128433,"https://applications-media.feverup.com/image/upload/f_auto,w_720,h_720/fever2/plan/photo/803f748a-d9c3-11ed-9e30-8e57f4b0ee10.jpg",40.43108720000001,-3.712494,Espacio Iroko
"elight  trae la magia de una experiencia musical en vivo a lugares increíbles en Madrid. ¡Consigue tus entradas para el Candlelight: Las Cuatro Estaciones de Vivaldi en San Antonio de los Alemanes!   👉 Experiencia apta para su compra con el   Bono Cultural Joven   del Ministerio de Cultura y Deportes. Puedes consultar las preguntas frecuentes al respecto y sus respuestas  aquí  _x000D_
  Información  📍 Lugar: Iglesia de San Antonio de los Alemanes, Madrid 📅 Fecha y hora: 7 de mayo a las 17:00 y a las 19:00 ⏳ Duración: 60 minutos aprox. (apertura de puertas 60 minutos antes, no se podrá acceder tras el inicio) 👤 Edad: a partir de 8 años. Los menores de 18 años deberán acudir acompañados por un adulto ♿ Accesibilidad: recinto habilitado para personas en silla de ruedas 🪑 Los asientos se asignan a la llegada según el tipo de ticket que hayas comprado ❓ Puedes consultar las preguntas frecuentes y sus respuestas  aquí  🎻 Consulta todos los  conciertos Candlelight  en Madrid 🕯️ Si deseas reservar un concierto privado, haz clic  aquí  _x000D_
  Programa Candlelight: Las Cuatro Estaciones de Vivaldi en San Antonio de los Alemanes  _x000D_
 _x000D_
 _x000D_
La Folia de A. Vivaldi  _x000D_
Las Cuatro Estaciones de A. Vivaldi:  _x000D_
- 1. Primavera (Allegro, Largo, Allegro Pastorale)_x000D_
2. Verano (Allegro non molto, Adagio-Presto, Presto) - _x000D_
3. Otoño (Allegro, Adagio Molto, Allegro Molto) - _x000D_
4. Invierno (Allegro non molto, Largo, Allegro) _x000D_
   Intérpretes:  _x000D_
 _x000D_
 Cuarteto de cuerda - Matrice _x000D_
 _x000D_
   Opiniones de los conciertos Candlelight  💬 Monique M. ⭐⭐⭐⭐⭐: ""Una experiencia fenomenal, increíble"""". 💬 Patricia C. ⭐⭐⭐⭐⭐: ""Un espectáculo precioso, vibrante, divertido y revitalizante. Se me ponían los pelos de punta. Lo estoy recomendando a todos los amigos que puedo porque es para verlo"". 💬 Joaquín G. ⭐⭐⭐⭐⭐: ""Precioso espectáculo, increíble en todos los aspectos"". _x000D_
    _x000D_
  ",128038,"https://applications-media.feverup.com/image/upload/f_auto,w_720,h_720/fever2/plan/photo/9f0610fe-cfbe-11ed-92a2-c2afacc801d3.jpg",40.42235859999999,-3.7038126,Iglesia de San Antonio de los Alemanes
"  ¡Universal Music Festival regresa en 2023! El ciclo de conciertos que llena de música el majestuoso Teatro Real de Madrid vuelve con una nueva programación que contará con los artistas nacionales e internacionales más grandes del momento. El 30 de julio, Lola Índigo será la encargada de poner el broche de oro a la séptima edición del festival con un concierto mucho más íntimo en el que llevará su particular estilo de pop urbano a diferentes generaciones. Para esta ocasión especial, contará con una banda y un atrezo único que seguirá la temática de su nuevo disco. ¡Consigue tus entradas para Lola Índigo en el Teatro Real de Madrid!",126709,"https://applications-media.feverup.com/image/upload/f_auto,w_720,h_720/fever2/plan/photo/16a857ac-c3ee-11ed-99c9-161c5d152321.jpg",40.418299,-3.710578,Teatro Real
